截图名称,账号,昵称,粉丝,点赞,短剧数,总集数,累计观看,单剧均观看,最高观看短剧,最高观看,主页链接
MD Drama,masturzo.clemen,MD Drama,37,258,3,105,654117,218039,The Chef's Payback,370911,https://www.tiktok.com/@masturzo.clemen
Shape of Desire,aidramalabs_pulse0,Shape of Desire,4515970,71401515,228,7559,2763050019,12118640,The Maid’s Daughter Stole My Mansion,169808592,https://www.tiktok.com/@aidramalabs_pulse0
ShortDramaTime,shortdramatime,ShortDramaTime,1370292,32386533,86,5621,1104328538,12841030,Perfect Timing of His Love,139308576,https://www.tiktok.com/@shortdramatime
The Long Silence_Trending_B,fz8fjg1,The Long Silence_Trending_B,44527,186789,27,888,15994317,592382,The Half Zombie Girl,4610152,https://www.tiktok.com/@fz8fjg1
Premium Episode.Drama.J,sangaaxdiln,Premium Episode.Drama.J,94341,524842,119,3931,50431651,423795,The Producer's Revenge,3320151,https://www.tiktok.com/@sangaaxdiln
The Lore Master,drama.pro28,The Lore Master,2887832,44061453,72,1926,1515052063,21042390,Revenge of the Pregnant Seahorse,418633532,https://www.tiktok.com/@drama.pro28
DuniaDrama,duniadrama43,DuniaDrama,1763,48531,31,1345,14093100,454616,Love Bites,2031656,https://www.tiktok.com/@duniadrama43
LoveBite Shorts,lovebiteshorts,LoveBite Shorts,7145,157852,47,2051,15503238,329856,The Elite Marriage,2903921,https://www.tiktok.com/@lovebiteshorts
物語の空,dramavault40,物語の空,1119,24208,32,1380,16085138,502661,Reclaim My Life,4258751,https://www.tiktok.com/@dramavault40
