截图名称,账号,昵称,粉丝,点赞,短剧数,总集数,累计观看,单剧均观看,最高观看短剧,最高观看,主页链接
MD Drama,masturzo.clemen,MD Drama,29,204,3,105,587346,195782,The Chef's Payback,362607,https://www.tiktok.com/@masturzo.clemen
Shape of Desire,aidramalabs_pulse0,Shape of Desire,4298438,66978238,197,6274,2609245314,13244900,The Maid’s Daughter Stole My Mansion,163537779,https://www.tiktok.com/@aidramalabs_pulse0
ShortDramaTime,shortdramatime,ShortDramaTime,1208164,28318805,75,4968,961520082,12820268,Perfect Timing of His Love,130719671,https://www.tiktok.com/@shortdramatime
The Long Silence_Trending_B,fz8fjg1,The Long Silence_Trending_B,43503,183991,24,796,15442006,643417,The Half Zombie Girl,4609652,https://www.tiktok.com/@fz8fjg1
Premium Episode.Drama.J,sangaaxdiln,Premium Episode.Drama.J,93104,510326,111,3522,48167876,433945,The Producer's Revenge,3306375,https://www.tiktok.com/@sangaaxdiln
The Lore Master,drama.pro28,The Lore Master,2809528,42033155,67,1732,1440149166,21494764,Revenge of the Pregnant Seahorse,354243854,https://www.tiktok.com/@drama.pro28
DuniaDrama,duniadrama43,DuniaDrama,1727,47987,31,1346,13996518,451501,Love Bites,2017548,https://www.tiktok.com/@duniadrama43
LoveBite Shorts,lovebiteshorts,LoveBite Shorts,6941,152342,47,2052,14863705,316249,The Elite Marriage,2899360,https://www.tiktok.com/@lovebiteshorts
物語の空,dramavault40,物語の空,1096,23684,32,1381,15952112,498504,Reclaim My Life,4145627,https://www.tiktok.com/@dramavault40
