截图名称,账号,昵称,粉丝,点赞,短剧数,总集数,累计观看,单剧均观看,最高观看短剧,最高观看,主页链接
MD Drama,masturzo.clemen,MD Drama,33,244,3,105,627013,209004,The Chef's Payback,369276,https://www.tiktok.com/@masturzo.clemen
Shape of Desire,aidramalabs_pulse0,Shape of Desire,4439712,69851456,197,6272,2708342463,13747931,The Maid’s Daughter Stole My Mansion,167402969,https://www.tiktok.com/@aidramalabs_pulse0
ShortDramaTime,shortdramatime,ShortDramaTime,1312214,30819034,84,5515,1050145490,12501732,Perfect Timing of His Love,135765598,https://www.tiktok.com/@shortdramatime
The Long Silence_Trending_B,fz8fjg1,The Long Silence_Trending_B,44074,185572,24,796,15526643,646943,The Half Zombie Girl,4609985,https://www.tiktok.com/@fz8fjg1
Premium Episode.Drama.J,sangaaxdiln,Premium Episode.Drama.J,93948,519385,111,3522,48790351,439553,The Producer's Revenge,3314760,https://www.tiktok.com/@sangaaxdiln
The Lore Master,drama.pro28,The Lore Master,2861744,43384720,67,1732,1490165170,22241271,Revenge of the Pregnant Seahorse,398480820,https://www.tiktok.com/@drama.pro28
DuniaDrama,duniadrama43,DuniaDrama,1750,48350,31,1345,14041007,452936,Love Bites,2027920,https://www.tiktok.com/@duniadrama43
LoveBite Shorts,lovebiteshorts,LoveBite Shorts,7098,156500,47,2051,15401880,327700,The Elite Marriage,2902828,https://www.tiktok.com/@lovebiteshorts
物語の空,dramavault40,物語の空,1112,24076,32,1380,16049467,501546,Reclaim My Life,4230966,https://www.tiktok.com/@dramavault40
