截图名称,账号,昵称,粉丝,点赞,短剧数,总集数,累计观看,单剧均观看,最高观看短剧,最高观看,主页链接
MD Drama,masturzo.clemen,MD Drama,29,201,13,15,6119,471,The Chef's Payback,5190,https://www.tiktok.com/@masturzo.clemen
Shape of Desire,aidramalabs_pulse0,Shape of Desire,4274021,66486607,3,100,675914,225305,The Filler Wife,553007,https://www.tiktok.com/@aidramalabs_pulse0
ShortDramaTime,shortdramatime,ShortDramaTime,1189321,27865990,26,100,514631,19794,"My Husband, theAmnesiac Wolf",242215,https://www.tiktok.com/@shortdramatime
The Long Silence_Trending_B,fz8fjg1,The Long Silence_Trending_B,43477,183882,6,100,1287448,214575,Seven Days in Black Stone,1213131,https://www.tiktok.com/@fz8fjg1
Premium Episode.Drama.J,sangaaxdiln,Premium Episode.Drama.J,92971,509301,9,100,3805963,422885,The Producer's Revenge,1991774,https://www.tiktok.com/@sangaaxdiln
The Lore Master,drama.pro28,The Lore Master,2799032,41732777,5,100,398407,79681,OLYMPUS ZERO: The Gods Are Already Dead,212230,https://www.tiktok.com/@drama.pro28
DuniaDrama,duniadrama43,DuniaDrama,1723,47901,6,100,19751,3292,Throne Beneath Power and Lies(More in Drama⬇️),9374,https://www.tiktok.com/@duniadrama43
LoveBite Shorts,lovebiteshorts,LoveBite Shorts,6923,151709,9,100,2079,231,Billionaire’s Pretense: Real Love(More in Drama⬇️),529,https://www.tiktok.com/@lovebiteshorts
物語の空,dramavault40,物語の空,1095,23489,4,100,28985,7246,Throne Beneath Power and Lies(More in Drama⬇️),11991,https://www.tiktok.com/@dramavault40
