截图名称,账号,昵称,粉丝,点赞,短剧数,总集数,累计观看,单剧均观看,最高观看短剧,最高观看,主页链接
MD Drama,masturzo.clemen,MD Drama,28,192,13,15,5928,456,The Chef's Payback,5076,https://www.tiktok.com/@masturzo.clemen
Shape of Desire,aidramalabs_pulse0,Shape of Desire,4238206,65873969,3,100,511276,170425,The Filler Wife,411798,https://www.tiktok.com/@aidramalabs_pulse0
ShortDramaTime,shortdramatime,ShortDramaTime,1171385,27410943,25,100,210081,8403,"My Husband, theAmnesiac Wolf",56570,https://www.tiktok.com/@shortdramatime
The Long Silence_Trending_B,fz8fjg1,The Long Silence_Trending_B,43422,183660,6,100,1287127,214521,Seven Days in Black Stone,1212831,https://www.tiktok.com/@fz8fjg1
Premium Episode.Drama.J,sangaaxdiln,Premium Episode.Drama.J,92871,508245,9,100,3804610,422734,The Producer's Revenge,1991038,https://www.tiktok.com/@sangaaxdiln
The Lore Master,drama.pro28,The Lore Master,2788969,41479799,5,100,281123,56225,OLYMPUS ZERO: The Gods Are Already Dead,129976,https://www.tiktok.com/@drama.pro28
DuniaDrama,duniadrama43,DuniaDrama,1720,47761,5,100,19610,3922,Throne Beneath Power and Lies(More in Drama⬇️),9348,https://www.tiktok.com/@duniadrama43
LoveBite Shorts,lovebiteshorts,LoveBite Shorts,6910,151054,9,100,1590,177,Billionaire’s Pretense: Real Love(More in Drama⬇️),463,https://www.tiktok.com/@lovebiteshorts
物語の空,dramavault40,物語の空,1092,23245,3,100,28943,9648,Throne Beneath Power and Lies(More in Drama⬇️),11816,https://www.tiktok.com/@dramavault40
