截图名称,账号,昵称,粉丝,点赞,短剧数,总集数,累计观看,单剧均观看,最高观看短剧,最高观看,主页链接
MD Drama,masturzo.clemen,MD Drama,33,241,3,105,622324,207441,The Chef's Payback,368124,https://www.tiktok.com/@masturzo.clemen
Shape of Desire,aidramalabs_pulse0,Shape of Desire,4400895,69032959,197,6273,2679392373,13600977,The Maid’s Daughter Stole My Mansion,166290391,https://www.tiktok.com/@aidramalabs_pulse0
ShortDramaTime,shortdramatime,ShortDramaTime,1284471,30123176,82,5416,1025506590,12506178,Perfect Timing of His Love,134607541,https://www.tiktok.com/@shortdramatime
The Long Silence_Trending_B,fz8fjg1,The Long Silence_Trending_B,43892,185106,24,796,15484463,645186,The Half Zombie Girl,4609883,https://www.tiktok.com/@fz8fjg1
Premium Episode.Drama.J,sangaaxdiln,Premium Episode.Drama.J,93658,516113,111,3522,48880973,440369,The Producer's Revenge,3312214,https://www.tiktok.com/@sangaaxdiln
The Lore Master,drama.pro28,The Lore Master,2848636,43042991,67,1732,1478412355,22065856,Revenge of the Pregnant Seahorse,388344594,https://www.tiktok.com/@drama.pro28
DuniaDrama,duniadrama43,DuniaDrama,1742,48255,31,1345,14023016,452355,Love Bites,2025478,https://www.tiktok.com/@duniadrama43
LoveBite Shorts,lovebiteshorts,LoveBite Shorts,7052,155173,47,2051,15293678,325397,The Elite Marriage,2902384,https://www.tiktok.com/@lovebiteshorts
物語の空,dramavault40,物語の空,1106,24010,32,1380,16015932,500498,Reclaim My Life,4218907,https://www.tiktok.com/@dramavault40
